"rgn_id","species_code","year","tonnes"
1,490,1985,38
1,490,1986,60
1,490,1987,109
1,490,1988,47
1,490,1989,237
1,490,1990,358
1,490,1991,16
1,490,1992,19
1,490,1993,19
1,490,1994,0
1,490,1995,15
1,490,1996,77
1,490,1997,33
1,490,1998,390
1,490,1999,670
1,490,2000,740
1,490,2001,890
1,490,2002,980
1,490,2003,740
1,490,2004,1280
1,490,2005,670
1,490,2006,510
1,490,2007,820
1,490,2008,640
1,490,2009,480
1,490,2010,360
1,490,2011,575
1,490,2012,555
1,490,2013,305
1,434,1984,150
1,434,1985,150
1,434,1986,150
1,434,1987,150
1,434,1988,150
1,434,1989,150
1,434,1990,355
1,434,1991,553
1,434,1992,782
1,434,1993,562
1,434,1994,909
1,434,1995,695
1,434,1996,726
1,434,1997,851
1,434,1998,798
1,434,1999,618
1,434,2000,226
1,434,2001,323
1,434,2002,150
1,434,2003,15
1,434,2004,12
1,434,2005,0
1,434,2006,0
1,434,2007,0
1,434,2008,0
1,434,2009,110
1,434,2010,79.2
1,434,2011,0
1,434,2012,4
1,434,2013,0
1,732,1996,560
1,732,1997,900
1,732,1998,700
1,732,1999,700
1,732,2000,0
1,732,2001,0
1,732,2002,0
1,732,2003,0
1,732,2004,0
1,732,2005,0
1,732,2006,0
1,732,2007,0.1
1,732,2008,0.1
1,732,2009,0
1,732,2010,0
1,732,2011,0
1,732,2012,0
1,732,2013,0
1,802,2002,2
1,802,2003,22
1,802,2004,100
1,802,2005,118
1,802,2006,134
1,802,2007,194
1,802,2008,200
1,802,2009,183.35
1,802,2010,214.2
1,802,2011,245.04
1,802,2012,186.5
1,802,2013,228.13
1,1044,2010,0.4
1,1044,2011,0.37
1,1044,2012,0.1
1,1044,2013,0.2
1,435,1984,0
1,435,1985,0
1,435,1986,0
1,435,1987,0
1,435,1988,0
1,435,1989,0
1,435,1990,0
1,435,1991,0
1,435,1992,0
1,435,1993,0
1,435,1994,0
1,435,1995,0.1
1,435,1996,1
1,435,1997,1
1,435,1998,0
1,435,1999,0
1,435,2000,0
1,435,2001,0
1,435,2002,0
1,435,2003,0
1,435,2004,0
1,435,2005,0
1,435,2006,2
1,435,2007,0
1,435,2008,0
1,435,2009,0
1,435,2010,0
1,435,2011,0
1,435,2012,0
1,435,2013,0
1,706,1993,3185
1,706,1994,2210
1,706,1995,4594
1,706,1996,2344
1,706,1997,3770
1,706,1998,2937
1,706,1999,3713
1,706,2000,3104
1,706,2001,1568
1,706,2002,0
1,706,2003,0
1,706,2004,0
1,706,2005,12
1,706,2006,2
1,706,2007,6
1,706,2008,0
1,706,2009,50.44
1,706,2010,47.4
1,706,2011,68.18
1,706,2012,43
1,706,2013,25.33
1,910,2005,3
1,910,2006,0
1,910,2007,1579
1,910,2008,1195
1,910,2009,239.96
1,910,2010,457.6
1,910,2011,606.84
1,910,2012,318.4
1,910,2013,199.86
1,990,2008,0.1
1,990,2009,9.12
1,990,2010,0.5
1,990,2011,0
1,990,2012,0.5
1,990,2013,1.31
1,886,2004,61
1,886,2005,98
1,886,2006,132
1,886,2007,82
1,886,2008,0
1,886,2009,0.1
1,886,2010,0.1
1,886,2011,0.5
1,886,2012,0.3
1,886,2013,0.17
1,491,1985,7
1,491,1986,10
1,491,1987,6
1,491,1988,6
1,491,1989,8
1,491,1990,7
1,491,1991,9
1,491,1992,13
1,491,1993,12
1,491,1994,12
1,491,1995,25
1,491,1996,23
1,491,1997,18
1,491,1998,12
1,491,1999,14
1,491,2000,13
1,491,2001,43
1,491,2002,4
1,491,2003,20
1,491,2004,70
1,491,2005,0
1,491,2006,0
1,491,2007,11
1,491,2008,0
1,491,2009,0
1,491,2010,0
1,491,2011,0
1,491,2012,0
1,491,2013,0
1,436,1984,30
1,436,1985,29
1,436,1986,34
1,436,1987,31
1,436,1988,29
1,436,1989,34
1,436,1990,27
1,436,1991,27
1,436,1992,32
1,436,1993,25
1,436,1994,24
1,436,1995,33
1,436,1996,40
1,436,1997,37
1,436,1998,38
1,436,1999,41
1,436,2000,36
1,436,2001,33
1,436,2002,1
